Epoch: 50, test/occ_acc_d2: 0.602, test/occ_precision_d2: 0.437, test/occ_recall_d2: 0.489, test/occ_gt_pos_rate_d2: 0.342, test/occ_pred_pos_rate_d2: 0.390, test/occ_num_nodes_d2: 1024.000, test/occ_num_gt_pos_d2: 350.686, test/occ_num_pred_pos_d2: 399.196, test/split_acc_d3: 0.535, test/split_precision_d3: 0.500, test/split_recall_d3: 0.507, test/split_gt_pos_rate_d3: 0.463, test/split_pred_pos_rate_d3: 0.470, test/split_num_nodes_d3: 2805.490, test/split_num_gt_pos_d3: 1298.765, test/split_num_pred_pos_d3: 1318.588, test/split_acc_d4: 0.562, test/split_precision_d4: 0.578, test/split_recall_d4: 0.558, test/split_gt_pos_rate_d4: 0.513, test/split_pred_pos_rate_d4: 0.499, test/split_num_nodes_d4: 10390.118, test/split_num_gt_pos_d4: 5335.118, test/split_num_pred_pos_d4: 5159.588, test/split_acc_d5: 0.559, test/split_precision_d5: 0.594, test/split_recall_d5: 0.527, test/split_gt_pos_rate_d5: 0.528, test/split_pred_pos_rate_d5: 0.469, test/split_num_nodes_d5: 42680.941, test/split_num_gt_pos_d5: 22563.118, test/split_num_pred_pos_d5: 19972.902, test/occ_acc_d6: 0.562, test/occ_precision_d6: 0.607, test/occ_recall_d6: 0.540, test/occ_gt_pos_rate_d6: 0.540, test/occ_pred_pos_rate_d6: 0.481, test/occ_num_nodes_d6: 180504.941, test/occ_num_gt_pos_d6: 97455.314, test/occ_num_pred_pos_d6: 86615.961, test/occ_loss: 0.240, test/split_loss: 0.201, test/pattern_loss: 0.000, test/rate_loss: 0.005, test/kl_loss: 0.000, test/occ_accuracy: 0.582, test/split_accuracy: 0.552, test/scheduled_sampling_prob: 0.000, test/active_nodes_last: 22563.118, test/latent_z_abs_mean: 0.798, test/latent_z_std: 1.000, test/using_latent_table: 0.000, test/latent_table_norm: 0.348, test/loss: 0.542
Epoch: 100, test/occ_acc_d2: 0.619, test/occ_precision_d2: 0.455, test/occ_recall_d2: 0.473, test/occ_gt_pos_rate_d2: 0.343, test/occ_pred_pos_rate_d2: 0.361, test/occ_num_nodes_d2: 1024.000, test/occ_num_gt_pos_d2: 351.235, test/occ_num_pred_pos_d2: 370.118, test/split_acc_d3: 0.529, test/split_precision_d3: 0.492, test/split_recall_d3: 0.444, test/split_gt_pos_rate_d3: 0.463, test/split_pred_pos_rate_d3: 0.420, test/split_num_nodes_d3: 2809.882, test/split_num_gt_pos_d3: 1300.941, test/split_num_pred_pos_d3: 1178.333, test/split_acc_d4: 0.554, test/split_precision_d4: 0.571, test/split_recall_d4: 0.548, test/split_gt_pos_rate_d4: 0.514, test/split_pred_pos_rate_d4: 0.496, test/split_num_nodes_d4: 10407.529, test/split_num_gt_pos_d4: 5348.588, test/split_num_pred_pos_d4: 5163.490, test/split_acc_d5: 0.546, test/split_precision_d5: 0.594, test/split_recall_d5: 0.456, test/split_gt_pos_rate_d5: 0.529, test/split_pred_pos_rate_d5: 0.408, test/split_num_nodes_d5: 42788.706, test/split_num_gt_pos_d5: 22659.627, test/split_num_pred_pos_d5: 17482.412, test/occ_acc_d6: 0.542, test/occ_precision_d6: 0.592, test/occ_recall_d6: 0.491, test/occ_gt_pos_rate_d6: 0.540, test/occ_pred_pos_rate_d6: 0.448, test/occ_num_nodes_d6: 181277.020, test/occ_num_gt_pos_d6: 97877.647, test/occ_num_pred_pos_d6: 81524.412, test/occ_loss: 0.363, test/split_loss: 0.385, test/pattern_loss: 0.000, test/rate_loss: 0.009, test/kl_loss: 0.000, test/occ_accuracy: 0.581, test/split_accuracy: 0.543, test/scheduled_sampling_prob: 0.000, test/active_nodes_last: 22659.627, test/latent_z_abs_mean: 0.797, test/latent_z_std: 0.998, test/using_latent_table: 0.000, test/latent_table_norm: 0.479, test/loss: 0.941
Epoch: 150, test/occ_acc_d2: 0.618, test/occ_precision_d2: 0.458, test/occ_recall_d2: 0.495, test/occ_gt_pos_rate_d2: 0.343, test/occ_pred_pos_rate_d2: 0.377, test/occ_num_nodes_d2: 1024.000, test/occ_num_gt_pos_d2: 350.765, test/occ_num_pred_pos_d2: 386.353, test/split_acc_d3: 0.528, test/split_precision_d3: 0.494, test/split_recall_d3: 0.450, test/split_gt_pos_rate_d3: 0.463, test/split_pred_pos_rate_d3: 0.424, test/split_num_nodes_d3: 2806.118, test/split_num_gt_pos_d3: 1298.059, test/split_num_pred_pos_d3: 1187.118, test/split_acc_d4: 0.545, test/split_precision_d4: 0.561, test/split_recall_d4: 0.535, test/split_gt_pos_rate_d4: 0.514, test/split_pred_pos_rate_d4: 0.491, test/split_num_nodes_d4: 10384.471, test/split_num_gt_pos_d4: 5335.333, test/split_num_pred_pos_d4: 5097.549, test/split_acc_d5: 0.542, test/split_precision_d5: 0.587, test/split_recall_d5: 0.456, test/split_gt_pos_rate_d5: 0.528, test/split_pred_pos_rate_d5: 0.412, test/split_num_nodes_d5: 42682.667, test/split_num_gt_pos_d5: 22571.745, test/split_num_pred_pos_d5: 17586.843, test/occ_acc_d6: 0.538, test/occ_precision_d6: 0.593, test/occ_recall_d6: 0.461, test/occ_gt_pos_rate_d6: 0.540, test/occ_pred_pos_rate_d6: 0.420, test/occ_num_nodes_d6: 180573.961, test/occ_num_gt_pos_d6: 97483.549, test/occ_num_pred_pos_d6: 75928.490, test/occ_loss: 0.426, test/split_loss: 0.543, test/pattern_loss: 0.000, test/rate_loss: 0.010, test/kl_loss: 0.000, test/occ_accuracy: 0.578, test/split_accuracy: 0.539, test/scheduled_sampling_prob: 0.000, test/active_nodes_last: 22571.745, test/latent_z_abs_mean: 0.797, test/latent_z_std: 0.998, test/using_latent_table: 0.000, test/latent_table_norm: 0.597, test/loss: 1.241
Epoch: 200, test/occ_acc_d2: 0.636, test/occ_precision_d2: 0.481, test/occ_recall_d2: 0.505, test/occ_gt_pos_rate_d2: 0.343, test/occ_pred_pos_rate_d2: 0.367, test/occ_num_nodes_d2: 1024.000, test/occ_num_gt_pos_d2: 350.784, test/occ_num_pred_pos_d2: 376.157, test/split_acc_d3: 0.530, test/split_precision_d3: 0.496, test/split_recall_d3: 0.470, test/split_gt_pos_rate_d3: 0.463, test/split_pred_pos_rate_d3: 0.441, test/split_num_nodes_d3: 2806.275, test/split_num_gt_pos_d3: 1297.412, test/split_num_pred_pos_d3: 1238.176, test/split_acc_d4: 0.550, test/split_precision_d4: 0.571, test/split_recall_d4: 0.519, test/split_gt_pos_rate_d4: 0.513, test/split_pred_pos_rate_d4: 0.469, test/split_num_nodes_d4: 10379.294, test/split_num_gt_pos_d4: 5329.471, test/split_num_pred_pos_d4: 4856.569, test/split_acc_d5: 0.536, test/split_precision_d5: 0.596, test/split_recall_d5: 0.395, test/split_gt_pos_rate_d5: 0.529, test/split_pred_pos_rate_d5: 0.354, test/split_num_nodes_d5: 42635.765, test/split_num_gt_pos_d5: 22547.784, test/split_num_pred_pos_d5: 15037.216, test/occ_acc_d6: 0.529, test/occ_precision_d6: 0.592, test/occ_recall_d6: 0.422, test/occ_gt_pos_rate_d6: 0.540, test/occ_pred_pos_rate_d6: 0.387, test/occ_num_nodes_d6: 180382.275, test/occ_num_gt_pos_d6: 97393.510, test/occ_num_pred_pos_d6: 69924.922, test/occ_loss: 0.473, test/split_loss: 0.713, test/pattern_loss: 0.000, test/rate_loss: 0.014, test/kl_loss: 0.000, test/occ_accuracy: 0.583, test/split_accuracy: 0.539, test/scheduled_sampling_prob: 0.000, test/active_nodes_last: 22547.784, test/latent_z_abs_mean: 0.797, test/latent_z_std: 0.999, test/using_latent_table: 0.000, test/latent_table_norm: 0.701, test/loss: 1.545
Epoch: 250, test/occ_acc_d2: 0.633, test/occ_precision_d2: 0.475, test/occ_recall_d2: 0.537, test/occ_gt_pos_rate_d2: 0.343, test/occ_pred_pos_rate_d2: 0.392, test/occ_num_nodes_d2: 1024.000, test/occ_num_gt_pos_d2: 351.000, test/occ_num_pred_pos_d2: 401.824, test/split_acc_d3: 0.531, test/split_precision_d3: 0.494, test/split_recall_d3: 0.498, test/split_gt_pos_rate_d3: 0.463, test/split_pred_pos_rate_d3: 0.467, test/split_num_nodes_d3: 2808.000, test/split_num_gt_pos_d3: 1298.529, test/split_num_pred_pos_d3: 1314.647, test/split_acc_d4: 0.551, test/split_precision_d4: 0.575, test/split_recall_d4: 0.499, test/split_gt_pos_rate_d4: 0.514, test/split_pred_pos_rate_d4: 0.448, test/split_num_nodes_d4: 10388.235, test/split_num_gt_pos_d4: 5336.941, test/split_num_pred_pos_d4: 4659.647, test/split_acc_d5: 0.535, test/split_precision_d5: 0.593, test/split_recall_d5: 0.388, test/split_gt_pos_rate_d5: 0.528, test/split_pred_pos_rate_d5: 0.347, test/split_num_nodes_d5: 42695.529, test/split_num_gt_pos_d5: 22579.549, test/split_num_pred_pos_d5: 14784.882, test/occ_acc_d6: 0.526, test/occ_precision_d6: 0.596, test/occ_recall_d6: 0.388, test/occ_gt_pos_rate_d6: 0.540, test/occ_pred_pos_rate_d6: 0.352, test/occ_num_nodes_d6: 180636.392, test/occ_num_gt_pos_d6: 97564.431, test/occ_num_pred_pos_d6: 63761.000, test/occ_loss: 0.536, test/split_loss: 0.806, test/pattern_loss: 0.000, test/rate_loss: 0.016, test/kl_loss: 0.000, test/occ_accuracy: 0.580, test/split_accuracy: 0.539, test/scheduled_sampling_prob: 0.000, test/active_nodes_last: 22579.549, test/latent_z_abs_mean: 0.797, test/latent_z_std: 0.998, test/using_latent_table: 0.000, test/latent_table_norm: 0.795, test/loss: 1.747
Epoch: 300, test/occ_acc_d2: 0.628, test/occ_precision_d2: 0.466, test/occ_recall_d2: 0.543, test/occ_gt_pos_rate_d2: 0.342, test/occ_pred_pos_rate_d2: 0.402, test/occ_num_nodes_d2: 1024.000, test/occ_num_gt_pos_d2: 350.510, test/occ_num_pred_pos_d2: 411.137, test/split_acc_d3: 0.537, test/split_precision_d3: 0.501, test/split_recall_d3: 0.473, test/split_gt_pos_rate_d3: 0.463, test/split_pred_pos_rate_d3: 0.439, test/split_num_nodes_d3: 2804.078, test/split_num_gt_pos_d3: 1297.078, test/split_num_pred_pos_d3: 1227.255, test/split_acc_d4: 0.553, test/split_precision_d4: 0.579, test/split_recall_d4: 0.494, test/split_gt_pos_rate_d4: 0.514, test/split_pred_pos_rate_d4: 0.440, test/split_num_nodes_d4: 10376.627, test/split_num_gt_pos_d4: 5329.490, test/split_num_pred_pos_d4: 4567.176, test/split_acc_d5: 0.535, test/split_precision_d5: 0.600, test/split_recall_d5: 0.374, test/split_gt_pos_rate_d5: 0.528, test/split_pred_pos_rate_d5: 0.331, test/split_num_nodes_d5: 42635.922, test/split_num_gt_pos_d5: 22541.824, test/split_num_pred_pos_d5: 14080.588, test/occ_acc_d6: 0.523, test/occ_precision_d6: 0.600, test/occ_recall_d6: 0.359, test/occ_gt_pos_rate_d6: 0.540, test/occ_pred_pos_rate_d6: 0.325, test/occ_num_nodes_d6: 180334.588, test/occ_num_gt_pos_d6: 97363.745, test/occ_num_pred_pos_d6: 58695.235, test/occ_loss: 0.572, test/split_loss: 0.984, test/pattern_loss: 0.000, test/rate_loss: 0.020, test/kl_loss: 0.000, test/occ_accuracy: 0.575, test/split_accuracy: 0.542, test/scheduled_sampling_prob: 0.000, test/active_nodes_last: 22541.824, test/latent_z_abs_mean: 0.799, test/latent_z_std: 1.001, test/using_latent_table: 0.000, test/latent_table_norm: 0.879, test/loss: 2.049
Epoch: 350, test/occ_acc_d2: 0.650, test/occ_precision_d2: 0.499, test/occ_recall_d2: 0.566, test/occ_gt_pos_rate_d2: 0.342, test/occ_pred_pos_rate_d2: 0.395, test/occ_num_nodes_d2: 1024.000, test/occ_num_gt_pos_d2: 350.255, test/occ_num_pred_pos_d2: 404.980, test/split_acc_d3: 0.534, test/split_precision_d3: 0.501, test/split_recall_d3: 0.511, test/split_gt_pos_rate_d3: 0.463, test/split_pred_pos_rate_d3: 0.476, test/split_num_nodes_d3: 2802.039, test/split_num_gt_pos_d3: 1297.000, test/split_num_pred_pos_d3: 1332.667, test/split_acc_d4: 0.557, test/split_precision_d4: 0.588, test/split_recall_d4: 0.463, test/split_gt_pos_rate_d4: 0.513, test/split_pred_pos_rate_d4: 0.405, test/split_num_nodes_d4: 10376.000, test/split_num_gt_pos_d4: 5329.451, test/split_num_pred_pos_d4: 4205.216, test/split_acc_d5: 0.536, test/split_precision_d5: 0.600, test/split_recall_d5: 0.373, test/split_gt_pos_rate_d5: 0.528, test/split_pred_pos_rate_d5: 0.330, test/split_num_nodes_d5: 42635.608, test/split_num_gt_pos_d5: 22545.765, test/split_num_pred_pos_d5: 14053.588, test/occ_acc_d6: 0.520, test/occ_precision_d6: 0.606, test/occ_recall_d6: 0.332, test/occ_gt_pos_rate_d6: 0.540, test/occ_pred_pos_rate_d6: 0.299, test/occ_num_nodes_d6: 180366.118, test/occ_num_gt_pos_d6: 97382.882, test/occ_num_pred_pos_d6: 53883.922, test/occ_loss: 0.633, test/split_loss: 1.052, test/pattern_loss: 0.000, test/rate_loss: 0.024, test/kl_loss: 0.000, test/occ_accuracy: 0.585, test/split_accuracy: 0.543, test/scheduled_sampling_prob: 0.000, test/active_nodes_last: 22545.765, test/latent_z_abs_mean: 0.798, test/latent_z_std: 1.000, test/using_latent_table: 0.000, test/latent_table_norm: 0.956, test/loss: 2.213
Epoch: 400, test/occ_acc_d2: 0.654, test/occ_precision_d2: 0.503, test/occ_recall_d2: 0.571, test/occ_gt_pos_rate_d2: 0.343, test/occ_pred_pos_rate_d2: 0.394, test/occ_num_nodes_d2: 1024.000, test/occ_num_gt_pos_d2: 350.824, test/occ_num_pred_pos_d2: 403.490, test/split_acc_d3: 0.543, test/split_precision_d3: 0.507, test/split_recall_d3: 0.523, test/split_gt_pos_rate_d3: 0.463, test/split_pred_pos_rate_d3: 0.479, test/split_num_nodes_d3: 2806.588, test/split_num_gt_pos_d3: 1297.804, test/split_num_pred_pos_d3: 1340.353, test/split_acc_d4: 0.563, test/split_precision_d4: 0.592, test/split_recall_d4: 0.488, test/split_gt_pos_rate_d4: 0.514, test/split_pred_pos_rate_d4: 0.426, test/split_num_nodes_d4: 10382.431, test/split_num_gt_pos_d4: 5332.765, test/split_num_pred_pos_d4: 4431.118, test/split_acc_d5: 0.540, test/split_precision_d5: 0.601, test/split_recall_d5: 0.392, test/split_gt_pos_rate_d5: 0.529, test/split_pred_pos_rate_d5: 0.347, test/split_num_nodes_d5: 42662.118, test/split_num_gt_pos_d5: 22563.588, test/split_num_pred_pos_d5: 14852.353, test/occ_acc_d6: 0.514, test/occ_precision_d6: 0.596, test/occ_recall_d6: 0.311, test/occ_gt_pos_rate_d6: 0.540, test/occ_pred_pos_rate_d6: 0.282, test/occ_num_nodes_d6: 180508.706, test/occ_num_gt_pos_d6: 97446.490, test/occ_num_pred_pos_d6: 50879.510, test/occ_loss: 0.671, test/split_loss: 1.100, test/pattern_loss: 0.000, test/rate_loss: 0.022, test/kl_loss: 0.000, test/occ_accuracy: 0.584, test/split_accuracy: 0.549, test/scheduled_sampling_prob: 0.000, test/active_nodes_last: 22563.588, test/latent_z_abs_mean: 0.799, test/latent_z_std: 1.000, test/using_latent_table: 0.000, test/latent_table_norm: 1.027, test/loss: 2.324
Epoch: 450, test/occ_acc_d2: 0.649, test/occ_precision_d2: 0.495, test/occ_recall_d2: 0.565, test/occ_gt_pos_rate_d2: 0.342, test/occ_pred_pos_rate_d2: 0.396, test/occ_num_nodes_d2: 1024.000, test/occ_num_gt_pos_d2: 350.333, test/occ_num_pred_pos_d2: 405.863, test/split_acc_d3: 0.550, test/split_precision_d3: 0.517, test/split_recall_d3: 0.498, test/split_gt_pos_rate_d3: 0.463, test/split_pred_pos_rate_d3: 0.447, test/split_num_nodes_d3: 2802.667, test/split_num_gt_pos_d3: 1296.725, test/split_num_pred_pos_d3: 1257.549, test/split_acc_d4: 0.561, test/split_precision_d4: 0.593, test/split_recall_d4: 0.476, test/split_gt_pos_rate_d4: 0.513, test/split_pred_pos_rate_d4: 0.414, test/split_num_nodes_d4: 10373.804, test/split_num_gt_pos_d4: 5328.020, test/split_num_pred_pos_d4: 4288.118, test/split_acc_d5: 0.541, test/split_precision_d5: 0.604, test/split_recall_d5: 0.387, test/split_gt_pos_rate_d5: 0.528, test/split_pred_pos_rate_d5: 0.339, test/split_num_nodes_d5: 42624.157, test/split_num_gt_pos_d5: 22531.941, test/split_num_pred_pos_d5: 14409.882, test/occ_acc_d6: 0.519, test/occ_precision_d6: 0.604, test/occ_recall_d6: 0.325, test/occ_gt_pos_rate_d6: 0.540, test/occ_pred_pos_rate_d6: 0.293, test/occ_num_nodes_d6: 180255.529, test/occ_num_gt_pos_d6: 97315.824, test/occ_num_pred_pos_d6: 52964.471, test/occ_loss: 0.679, test/split_loss: 1.206, test/pattern_loss: 0.000, test/rate_loss: 0.024, test/kl_loss: 0.000, test/occ_accuracy: 0.584, test/split_accuracy: 0.551, test/scheduled_sampling_prob: 0.000, test/active_nodes_last: 22531.941, test/latent_z_abs_mean: 0.796, test/latent_z_std: 0.997, test/using_latent_table: 0.000, test/latent_table_norm: 1.094, test/loss: 2.489
Epoch: 500, test/occ_acc_d2: 0.669, test/occ_precision_d2: 0.524, test/occ_recall_d2: 0.581, test/occ_gt_pos_rate_d2: 0.343, test/occ_pred_pos_rate_d2: 0.385, test/occ_num_nodes_d2: 1024.000, test/occ_num_gt_pos_d2: 351.157, test/occ_num_pred_pos_d2: 393.804, test/split_acc_d3: 0.554, test/split_precision_d3: 0.522, test/split_recall_d3: 0.493, test/split_gt_pos_rate_d3: 0.463, test/split_pred_pos_rate_d3: 0.439, test/split_num_nodes_d3: 2809.255, test/split_num_gt_pos_d3: 1299.569, test/split_num_pred_pos_d3: 1233.882, test/split_acc_d4: 0.575, test/split_precision_d4: 0.604, test/split_recall_d4: 0.505, test/split_gt_pos_rate_d4: 0.514, test/split_pred_pos_rate_d4: 0.431, test/split_num_nodes_d4: 10396.549, test/split_num_gt_pos_d4: 5341.784, test/split_num_pred_pos_d4: 4481.353, test/split_acc_d5: 0.544, test/split_precision_d5: 0.606, test/split_recall_d5: 0.404, test/split_gt_pos_rate_d5: 0.528, test/split_pred_pos_rate_d5: 0.354, test/split_num_nodes_d5: 42734.275, test/split_num_gt_pos_d5: 22596.255, test/split_num_pred_pos_d5: 15106.647, test/occ_acc_d6: 0.511, test/occ_precision_d6: 0.603, test/occ_recall_d6: 0.280, test/occ_gt_pos_rate_d6: 0.540, test/occ_pred_pos_rate_d6: 0.251, test/occ_num_nodes_d6: 180770.039, test/occ_num_gt_pos_d6: 97606.255, test/occ_num_pred_pos_d6: 45221.157, test/occ_loss: 0.736, test/split_loss: 1.282, test/pattern_loss: 0.000, test/rate_loss: 0.025, test/kl_loss: 0.000, test/occ_accuracy: 0.590, test/split_accuracy: 0.558, test/scheduled_sampling_prob: 0.000, test/active_nodes_last: 22596.255, test/latent_z_abs_mean: 0.794, test/latent_z_std: 0.995, test/using_latent_table: 0.000, test/latent_table_norm: 1.157, test/loss: 2.662
